V | I veicoli a due ruote, con motore termico fino a 50 cm3 di cilindrata e velocità massima di 45 km/h sono ciclomotori
V | Il segnale raffigurato preannuncia un incrocio in cui si ha la precedenza sui veicoli provenienti da sinistra
F | Il segnale raffigurato preannuncia sulla sinistra una strada senza uscita
F | Il segnale raffigurato vieta la svolta a sinistra
F | Il segnale raffigurato preannuncia una confluenza in autostrada
F | Il segnale raffigurato preannuncia una confluenza a destra
F | Il segnale raffigurato è posto sulle rampe di accesso alle autostrade
F | Il segnale raffigurato preannuncia l'incrocio con un binario morto Confluenza a destra Figura 50
V | Il segnale raffigurato preannuncia una immissione da destra con corsia di accelerazione
V | Il segnale raffigurato preannuncia una confluenza sul lato destro
V | Il segnale raffigurato può trovarsi sulle autostrade
V | Il segnale raffigurato invita ad usare la massima prudenza al fine di evitare incidenti
V | Il segnale raffigurato indica che abbiamo la precedenza sui veicoli che si immettono da destra
V | In presenza del segnale raffigurato, sulla rampa di raccordo è posto il segnale di DARE PRECEDENZA
F | Il segnale raffigurato è posto a non più di 25 metri dall'incrocio
F | Il segnale raffigurato preannuncia di dare precedenza ai veicoli provenienti da destra
F | Il segnale raffigurato viene posto su strada secondaria che non gode del diritto di precedenza
F | Il segnale raffigurato può precedere il segnale DARE PRECEDENZA
F | Il segnale raffigurato, su autostrada, non comporta una riduzione della velocità
F | Il segnale raffigurato consente la svolta a destra al prossimo incrocio 43 Confluenza a sinistra Figura 51
V | Il segnale raffigurato preannuncia un'immissione stradale con corsia di accelerazione posta sulla sinistra
V | Il segnale raffigurato preannuncia una confluenza sul lato sinistro della carreggiata
V | Il segnale raffigurato si trova su carreggiate a senso unico di circolazione
V | Il segnale raffigurato invita ad usare prudenza perché altri veicoli potrebbero immettersi nel flusso della circolazione
V | Il segnale raffigurato è usato su strade con diritto di precedenza
V | Il segnale raffigurato comporta la presenza del segnale DARE PRECEDENZA sulla strada di immissione laterale
F | Il segnale raffigurato è posto a non più di 25 metri dall'incrocio
F | Il segnale raffigurato prescrive di dare la precedenza ai veicoli provenienti da sinistra
F | Il segnale raffigurato preannuncia che non si ha diritto di precedenza nella confluenza
F | Il segnale raffigurato precede il segnale di DARE PRECEDENZA
F | Il segnale raffigurato, posto sulle autostrade, precede il segnale d'obbligo di svolta a sinistra
F | Il segnale raffigurato consente la svolta a sinistra al prossimo incrocio Diritto di precedenza Figura 52
V | Il segnale raffigurato indica l'inizio di una strada in cui i veicoli hanno diritto di precedenza
V | Il segnale raffigurato può essere posto su una strada statale
V | In presenza del segnale raffigurato bisogna comunque dare la precedenza ai veicoli che hanno in funzione il lampeg- giante blu e sirena
V | Il segnale raffigurato è un segnale di precedenza
V | In presenza del segnale raffigurato bisogna comunque assicurarsi che i veicoli provenienti dalle strade laterali diano la precedenza
V | Il segnale raffigurato è un segnale di prescrizione
F | Il segnale raffigurato obbliga ad arrestarsi all'incrocio
F | Il segnale raffigurato può essere posto a protezione di attraversamenti pedonali pericolosi
F | Il segnale raffigurato è posto esclusivamente su strade extraurbane ad intenso traffico
F | Il segnale raffigurato preannuncia incrocio con precedenza rispetto ai soli veicoli provenienti da destra
F | Il segnale raffigurato preannuncia le corsie riservate agli autobus in servizio pubblico
F | Il segnale raffigurato preannuncia l'inizio di un cantiere stradale 44 Diritto di precedenza Figura 52 Figura 972
V | Il segnale raffigurato si può trovare all'inizio di una strada urbana o extraurbana che gode del diritto di precedenza
V | Il segnale raffigurato può essere ripetuto in formato piccolo prima e dopo ogni incrocio
V | Il segnale di figura (A) può essere ripetuto in formato piccolo e integrato con il pannello in figura (B)  (FIG 972)
V | Il segnale raffigurato comporta la presenza sulle strade che si incrociano del segnale DARE PRECEDENZA o STOP
V | In presenza del segnale raffigurato è comunque necessario moderare la velocità in prossimità degli incroci
F | Il segnale raffigurato si trova all'inizio di una strada senza diritto di precedenza
F | Il segnale raffigurato si trova all'inizio di un'autostrada
F | Il segnale raffigurato si trova esclusivamente all'inizio di una strada statale
F | In presenza del segnale raffigurato non occorrono particolari cautele perché si ha la precedenza
F | Il segnale raffigurato si trova alla fine di una strada con diritto di precedenza
F | Il segnale raffigurato si trova alla fine di una strada statale
F | Il segnale raffigurato indica che si ha la precedenza fino all'uscita del centro abitato Fine del diritto di precedenza Figura 46
V | Il segnale raffigurato invita a maggiore prudenza perché non si ha più diritto di precedenza
V | In presenza del segnale raffigurato il conducente, salvo diverso ulteriore segnale, deve dare precedenza ai veicoli pro- venienti da destra
V | Il segnale raffigurato è un segnale di precedenza
V | Il segnale raffigurato indica che la strada non gode più del diritto di precedenza
V | Il segnale raffigurato può essere seguito dal segnale FERMARSI E DARE PRECEDENZA
V | Il segnale raffigurato modifica le precedenti norme sulla precedenza agli incroci
F | Il segnale raffigurato è un segnale di indicazione
F | Il segnale raffigurato preannuncia che si sta percorrendo una strada con diritto di precedenza
F | Il segnale raffigurato obbliga ad arrestarsi all'incrocio
F | Il segnale raffigurato indica l'andamento della strada principale
F | Il segnale raffigurato preannuncia sempre un incrocio con precedenza a destra
F | Il segnale raffigurato preannuncia la fine dell'obbligo precedentemente imposto
F | Il segnale raffigurato preannuncia una strada senza uscita 45 Fine del diritto di precedenza Figura 46
V | Il segnale raffigurato indica il ripristino della norma generale sulla precedenza
V | Il segnale raffigurato indica che termina una strada con diritto di precedenza
V | Il segnale raffigurato indica che dopo di esso si dovrà, di norma, dare la precedenza a destra
V | Il segnale raffigurato indica la fine del diritto di precedenza anche sulle strade urbane
F | Il segnale raffigurato indica la fine di un'autostrada
F | Il segnale raffigurato indica la fine di una strada a senso unico
F | Il segnale raffigurato indica la fine di una strada a doppio senso di circolazione
F | Il segnale raffigurato indica fine del limite di velocità
F | Il segnale raffigurato indica la fine di tutti i divieti Dare precedenza nei sensi unici alternati Figura 45
V | Il segnale raffigurato impone, nelle strettoie, di dare precedenza ai veicoli provenienti dal senso opposto
V | Il segnale raffigurato preannuncia, in presenza di lavori, di dare precedenza ai veicoli provenienti dal senso opposto
V | Il segnale raffigurato preannuncia che bisogna dare la precedenza ai veicoli provenienti di fronte
V | Il segnale raffigurato obbliga a dare la precedenza ai veicoli provenienti dal senso contrario
V | Il segnale raffigurato impone di dare la precedenza nei sensi unici alternati
V | Il segnale raffigurato, in una strada a doppio senso, precede una strettoia che permette il transito di una sola fila di veicoli
V | Il segnale raffigurato preannuncia che la circolazione non può svolgersi contemporaneamente nei due sensi
F | Il segnale raffigurato preannuncia che la circolazione è ammessa nei giorni pari in un senso e nei giorni dispari nell'altro
F | Il segnale raffigurato preannuncia il diritto di precedenza nei sensi unici alternati
F | Il segnale raffigurato, su una carreggiata a senso unico, preannuncia l'inizio del doppio senso di circolazione
F | Il segnale raffigurato preannuncia la fine del senso unico di circolazione
F | Il segnale raffigurato preannuncia la fine del diritto di precedenza nei sensi unici alternati
F | Il segnale raffigurato si trova su strade a senso unico di circolazione 46 Dare precedenza nei sensi unici alternati Figura 45
V | Il segnale raffigurato è un segnale di prescrizione
V | Il segnale raffigurato può essere posto in una strada in cui una parte della carreggiata è sbarrata
V | Il segnale raffigurato può essere posto in una strada con strettoia
V | Il segnale raffigurato impone di dare la precedenza ai veicoli provenienti dal senso opposto
V | Il segnale raffigurato prescrive di dare la precedenza nei sensi unici alternati
V | Il segnale raffigurato si incontra prima di una strettoia che, di norma, consente il passaggio di una sola fila di veicoli
F | Il segnale raffigurato si incontra prima di un qualsiasi restringimento della carreggiata
F | Il segnale raffigurato è un segnale di divieto
F | Il segnale raffigurato è posto all'inizio di una strada a senso unico
F | Il segnale raffigurato obbliga a dare la precedenza, negli incroci, ai veicoli provenienti sia da destra che da sinistra
F | Il segnale raffigurato è un segnale di pericolo
F | Il segnale raffigurato preannuncia il diritto di precedenza nei sensi unici alternati Diritto di precedenza nei sensi unici alternati Figura 53
V | In presenza del segnale raffigurato dobbiamo accertarci che i veicoli provenienti dal senso contrario ci diano la precedenza
V | In presenza del segnale raffigurato possiamo percorrere la strettoia, dopo esserci assicurati di aver ottenuto la precedenza
V | In presenza del segnale raffigurato dobbiamo procedere con cautela, anche se abbiamo la precedenza
V | In presenza del segnale raffigurato si può percorrere la strettoia accertandosi di aver avuto la precedenza dai veicoli provenienti di fronte
F | In presenza del segnale raffigurato si deve dare la precedenza ai veicoli che provengono dal senso opposto
F | In presenza del segnale raffigurato possiamo procedere senza cautela, dato che abbiamo il diritto di precedenza
F | In presenza del segnale raffigurato non vi sono particolari obblighi perché siamo su una strada a senso unico
F | In presenza del segnale raffigurato inizia il doppio senso di circolazione
F | In presenza del segnale raffigurato si deve usare prudenza nella strettoia perché la circolazione si svolge a doppio senso
F | Il segnale raffigurato preannuncia il divieto d'inversione di marcia
F | Il segnale raffigurato preannuncia il divieto di svolta 47 Divieto di transito Figura 54
V | Il segnale raffigurato vieta la circolazione nei due sensi
V | Il segnale raffigurato vieta il transito a tutti i veicoli
V | Il segnale raffigurato vieta la circolazione ai quadricicli a motore
V | Il segnale raffigurato è posto su entrambi gli accessi della strada
V | Il segnale raffigurato vieta il transito agli autocarri
V | Il segnale raffigurato può avere validità limitata nel tempo, indicata in un pannello integrativo
V | Il segnale raffigurato consente il transito ai pedoni
V | Il segnale raffigurato vieta la circolazione ai ciclomotori
V | Il segnale raffigurato è un DIVIETO DI TRANSITO
F | Il segnale raffigurato consente il transito alle biciclette
F | Il segnale raffigurato vieta il transito unicamente ai veicoli a motore
F | Il segnale raffigurato consente, di norma, di entrare nella strada per effettuare la sosta e le operazioni di carico e scarico
F | Il segnale raffigurato non consente l'ingresso, ma solo l'uscita dalla strada
F | Il segnale raffigurato indica che la circolazione è a senso unico
F | Il segnale raffigurato consente il transito alle autovetture con motore elettrico
F | Il segnale raffigurato è un segnale di pericolo
F | Il segnale raffigurato, se barrato in rosso, indica la fine del divieto Divieto di transito per particolari categorie di veicoli Figura 151
V | Il segnale raffigurato vieta il transito ad autotreni ed autoarticolati
V | In presenza del segnale raffigurato è vietato il transito alle categorie di veicoli rappresentati in figura
V | Il segnale raffigurato è un divieto di transito per determinate categorie di veicoli
V | Il segnale raffigurato indica che i veicoli delle categorie rappresentate in figura non possono transitare
V | Il segnale raffigurato indica che possono transitare tutti i veicoli esclusi quelli delle categorie rappresentate in figura
F | Il segnale raffigurato indica un itinerario obbligatorio per gli autoveicoli delle categorie rappresentate in figura
F | Il segnale raffigurato preannuncia un parcheggio per autocarri ed autotreni
F | Il segnale raffigurato vieta il transito di tutti i veicoli con esclusione di quelli rappresentati in figura
F | Il segnale raffigurato vieta la sosta ad autotreni ed autoarticolati
F | Il segnale raffigurato indica un divieto di sosta per autotreni e autoarticolati
F | Il segnale raffigurato presegnala una strada riservata ai veicoli delle categorie rappresentate in figura 48 Senso vietato Figura 55
V | Il segnale raffigurato vieta di entrare in una strada accessibile invece dall'altra parte
V | I veicoli senza motore devono rispettare il divieto imposto dal segnale rappresentato
V | I taxi devono rispettare il divieto imposto dal segnale rappresentato
V | I quadricicli a motore devono rispettare il divieto imposto dal segnale rappresentato
V | Il divieto imposto dal segnale raffigurato deve essere rispettato anche nelle ore notturne
V | Il segnale raffigurato è posto su una strada a senso unico
V | Il segnale raffigurato è un SENSO VIETATO
F | Il segnale raffigurato consente l'accesso ai motocicli
F | Il segnale raffigurato consente l'accesso ai ciclomotori
F | Il segnale raffigurato non consente la circolazione dei veicoli in quella strada
F | Il segnale raffigurato è posto su una carreggiata a doppio senso di circolazione
F | Il segnale raffigurato vieta la sosta, ma non la fermata
F | Il segnale raffigurato vieta il sorpasso
F | Il segnale raffigurato consente la circolazione del traffico locale in entrambi i sensi
F | Il divieto imposto dal segnale raffigurato deve essere rispettato, nei centri abitati, dalle ore 8.00 alle ore 20.00
F | Il segnale raffigurato è un DIVIETO DI TRANSITO Distanziamento minimo obbligatorio Figura 57
V | In presenza del segnale raffigurato è obbligatorio mantenere una distanza di almeno 70 metri dal veicolo che precede
V | In presenza del segnale raffigurato è consentito ad un veicolo di circolare alla distanza di 80 metri da quello che lo precede
V | Il segnale raffigurato vieta ad un veicolo di circolare a meno di 70 metri da quello che lo precede
V | Il segnale raffigurato vale anche per i motocicli
V | Il segnale raffigurato deve essere rispettato anche quando si viaggia a bassa velocità
V | Il segnale raffigurato obbliga a rispettare la distanza minima indicata
F | Il segnale raffigurato obbliga i veicoli a marciare a meno di 70 metri di distanza l'uno dall'altro
F | Il segnale raffigurato obbliga il veicolo che precede a distanziare quello che lo segue di almeno 70 metri
F | Il segnale raffigurato indica la distanza massima da mantenere esclusivamente nei tratti di strada dove il sorpasso è vietato
F | Il segnale raffigurato preavvisa che a 70 metri inizia il divieto di transito per le autovetture
F | In presenza del segnale raffigurato le autovetture non possono superare la velocità di 70 km/h
F | Il segnale raffigurato indica la lunghezza massima del cavo di traino 49 Divieto di segnalazioni acustiche Figura 59
V | Il segnale raffigurato vieta l'uso del clacson
V | Il segnale raffigurato vieta le segnalazioni acustiche
V | In presenza del segnale raffigurato è consentito l'uso del clacson solo in caso di pericolo immediato
V | Il segnale raffigurato indica l'inizio di una zona in cui è vietato suonare il clacson
V | In presenza del segnale raffigurato si può utilizzare il clacson se si trasportano feriti o ammalati gravi
F | Il segnale raffigurato consente l'uso del clacson per richiamare l'attenzione in qualsiasi circostanza
F | Il segnale raffigurato deve essere rispettato soltanto dalle ore 20.00 alle ore 8.00
F | Il segnale raffigurato preavvisa la possibilità di incontrare una caserma dei vigili del fuoco
F | Il segnale raffigurato preavvisa una strettoia su strade di montagna
F | Il segnale raffigurato consente l'uso del clacson nei casi di ingorgo stradale
F | Il segnale raffigurato indica la fine del divieto di segnalazioni acustiche Divieto di sorpasso A B Figura 56 Figura 932
V | Il segnale raffigurato consente ad un'autovettura di sorpassare un motociclo
V | Il segnale raffigurato si può trovare sia sulle strade urbane che su quelle extraurbane
V | Il segnale (A) può essere ripetuto dopo ogni incrocio con pannello integrativo (B)  (FIG 932)
V | Il segnale raffigurato vieta di sorpassare autocarri
V | Il segnale raffigurato consente di sorpassare i ciclomotori
V | Il segnale raffigurato vieta il sorpasso fra autoveicoli, anche se la manovra può compiersi entro la semicarreggiata
F | Il segnale raffigurato consente ad un motociclo di sorpassare un'autovettura
F | Il segnale raffigurato indica che la corsia di destra è riservata ai veicoli lenti
F | Il segnale raffigurato consente di sorpassare un'autovettura purché non si oltrepassi la striscia continua
F | Il segnale raffigurato vieta ad un motociclo di sorpassare una bicicletta
F | Il segnale raffigurato consente il sorpasso tra autovetture se non vi è la striscia bianca continua 50 Divieto di sorpasso (comportamento) Figura 56
V | In presenza del segnale raffigurato un autocarro può sorpassare un motociclo
V | In presenza del segnale raffigurato un'autovettura può sorpassare un ciclomotore
V | Il segnale raffigurato consente il transito agli autotreni, autoarticolati ed autosnodati
V | In presenza del segnale raffigurato è vietato sorpassare anche gli autoveicoli di massa complessiva inferiore a 3,5 tonnellate
V | In presenza del segnale raffigurato è vietato sorpassare veicoli a motore diversi dai motocicli e dai ciclomotori
V | In presenza del segnale raffigurato è consentito sorpassare veicoli a trazione animale
F | Il segnale raffigurato consente ad un'autovettura di sorpassare un autocarro
F | Il segnale raffigurato si trova solo sulle strade extraurbane principali
F | In presenza del segnale raffigurato è vietato sorpassare qualsiasi veicolo
F | In presenza del segnale raffigurato è vietato il transito alle autovetture
F | Il segnale raffigurato impone di dare la precedenza nei sensi unici alternati
F | Il segnale raffigurato consente ad un motociclo di superare un autobus Divieto di sorpasso (comportamento) Figura 56
V | In presenza del segnale raffigurato è consentito sorpassare ciclomotori a due ruote
V | In presenza del segnale raffigurato è consentito il sorpasso dei motocicli
V | Il segnale raffigurato consente il sorpasso delle biciclette
V | In presenza del segnale raffigurato è consentito il sorpasso dei veicoli sprovvisti di motore
V | In presenza del segnale raffigurato è consentito il sorpasso dei veicoli a braccia
V | In presenza del segnale raffigurato è consentito il sorpasso delle carrozze a cavalli
F | In presenza del segnale raffigurato è consentito il sorpasso degli autoveicoli a motore elettrico
F | Il segnale raffigurato preannuncia una strettoia
F | In presenza del segnale raffigurato è consentito il sorpasso delle macchine agricole
F | In presenza del segnale raffigurato è consentito il sorpasso delle macchine operatrici
F | In presenza del segnale raffigurato è consentito il sorpasso dei veicoli a motore che procedono molto lentamente
F | In presenza del segnale raffigurato è consentito il sorpasso dei veicoli che hanno segnalato l'intenzione di svoltare a destra 51 Fine divieto di sorpasso Figura 82
V | Il segnale raffigurato indica la fine del divieto di sorpasso precedentemente imposto
V | In presenza del segnale raffigurato è vietato il sorpasso se deve essere oltrepassata la striscia continua
V | Il segnale raffigurato indica il punto in cui termina il divieto di sorpasso
V | Il segnale raffigurato non impone un particolare limite di velocità
V | Il segnale raffigurato può essere posto sia nei centri urbani che fuori
V | Il segnale raffigurato è un segnale di fine prescrizione
V | Il segnale raffigurato ha validità per tutte le 24 ore
F | Il segnale raffigurato indica la fine del divieto di sorpasso tra le sole autovetture
F | Il segnale raffigurato indica la fine del divieto di transito per tutti gli autoveicoli
F | Il segnale raffigurato prescrive il divieto di marcia per file parallele
F | Il segnale raffigurato indica la fine del limite massimo di velocità
F | Il segnale raffigurato indica la fine del divieto di sosta su entrambi i lati della strada
F | Il segnale raffigurato indica che è finito l'obbligo di mantenere la distanza di sicurezza
F | Il segnale raffigurato indica la fine del divieto di sosta in seconda fila Fine divieto di sorpasso per veicoli di massa complessiva a pieno carico oltre 3,5 t non adibiti al trasporto di persone Figura 83
V | In presenza del segnale raffigurato un autotreno di massa pari a 44 tonnellate può sorpassare un'autovettura
V | Il segnale raffigurato indica la fine del divieto di sorpasso precedentemente imposto
V | In presenza del segnale raffigurato un autocarro può sorpassare un autobus
V | Il segnale raffigurato indica la fine del divieto di sorpasso per veicoli merci di massa a pieno carico superiore a 3,5 ton- nellate
V | Il segnale raffigurato è un segnale di fine prescrizione
F | In presenza del segnale raffigurato è vietato il transito degli autotreni, autosnodati, autoarticolati
F | In presenza del segnale raffigurato le autovetture devono sorpassare gli autocarri sulla corsia di destra
F | Il segnale raffigurato indica la fine del divieto di sorpasso per autobus di massa a pieno carico superiore a 3,5 tonnellate
F | Il segnale raffigurato è un segnale di pericolo
F | Il segnale raffigurato non vale per gli autocarri di massa complessiva pari a 7 tonnellate 52 Divieto di sorpasso per veicoli di massa complessiva a pieno carico oltre 3,5 t non adibiti al trasporto di persone Figura 60
V | Il segnale raffigurato vieta ai veicoli di massa a pieno carico superiore a 3,5 tonnellate non destinati al trasporto di per- sone, di sorpassare veicoli a motore
V | In presenza del segnale raffigurato, un autocarro non può sorpassare veicoli a motore se sulla sua carta di circolazione è indicata una massa complessiva a pieno carico superiore a 3,5 tonnellate
V | Il segnale raffigurato consente ad un autocarro di massa a pieno carico inferiore a 3,5 tonnellate di sorpassare un auto- articolato
V | Il segnale raffigurato consente ad un autobus di massa a pieno carico pari a 18 tonnellate di sorpassare un autotreno
V | In presenza del segnale raffigurato un'autovettura con massa a pieno carico pari a 3 tonnellate trainante un carrello appendice, può sorpassare veicoli a motore
V | In presenza del segnale raffigurato un'autovettura può sorpassare un autotreno
V | In presenza del segnale raffigurato un autocaravan con massa a pieno carico pari a 4 tonnellate può effettuare manovre di sorpasso
V | In presenza del segnale raffigurato è vietato agli autocarri con massa a pieno carico superiore a 3,5 t di sorpassare un motociclo
F | In presenza del segnale raffigurato un autocarro con massa massima a pieno carico superiore a 3,5 tonnellate trainante un rimorchio leggero, può sorpassare un motociclo
F | In presenza del segnale raffigurato un autocaravan di massa a pieno carico superiore a 3,5 tonnellate non può sorpas- sare veicoli a motore
F | Il segnale raffigurato consente ad un autocarro di massa complessiva superiore a 3,5 tonnellate di sorpassare un motociclo
F | Il segnale raffigurato consente alle autovetture di sorpassare gli autocarri sulla corsia di destra
F | Il segnale raffigurato vieta il sorpasso agli autosnodati
F | Il segnale raffigurato vieta ad un'autocaravan di massa complessiva pari a 6 tonnellate di effettuare manovre di sorpasso
F | In presenza del segnale raffigurato, un autocarro di massa a pieno carico pari a 3 tonnellate non può effettuare manovre di sorpasso
F | In presenza del segnale raffigurato i veicoli con massa a pieno carico superiore a 3,5 tonnellate destinati al trasporto di persone, non possono effettuare manovre di sorpasso 53 Limite massimo di velocità Figura 58
V | Il segnale raffigurato è un segnale di divieto
V | In presenza del segnale raffigurato è vietato superare la velocità di 80 km/h
V | Il segnale raffigurato può trovarsi anche sulle autostrade
V | Il limite di velocità indicato sul segnale raffigurato ha validità immediatamente dopo il segnale stesso
V | Il segnale raffigurato prescrive di marciare a velocità inferiore o uguale a 80 km/h
V | Il segnale raffigurato è un segnale di prescrizione
F | Il segnale raffigurato impone di mantenere una distanza di sicurezza di almeno 80 metri
F | Il segnale raffigurato non si riferisce ai motocicli
F | Il segnale raffigurato indica la velocità consigliata
F | Il segnale raffigurato permette di effettuare il sorpasso a velocità superiore a 80 km/h
F | Il segnale raffigurato vieta la circolazione dei veicoli di massa totale superiore a 80 quintali
F | Il segnale raffigurato obbliga a rispettare un limite minimo di velocità
F | Il segnale raffigurato vieta il transito ai veicoli che, per costruzione, non possono raggiungere la velocità indicata Limite massimo di velocità Figura 58
V | Il segnale raffigurato vieta ai veicoli di superare la velocità indicata
V | Il segnale raffigurato obbliga a rispettare un limite massimo di velocità
V | Il segnale raffigurato indica la velocità massima alla quale i veicoli possono procedere
V | Il segnale raffigurato prescrive l'obbligo di viaggiare a velocità non superiore a 80 km/h
V | Il numero raffigurato nel segnale indica la velocità massima consentita
V | Il segnale raffigurato consente di circolare a velocità inferiore a quella indicata
F | Il segnale raffigurato indica un limite di velocità valido solo per autoveicoli
F | Il segnale raffigurato obbliga a rispettare il limite minimo di velocità indicato
F | Il segnale raffigurato impone ai veicoli che non sono in grado di superare gli 80 km/h di marciare sulla corsia di destra
F | Il limite di velocità indicato dal segnale raffigurato entra in vigore 150 metri dopo il segnale stesso
F | Il segnale raffigurato vieta il transito agli autoveicoli con massa complessiva superiore al valore indicato
F | Il segnale raffigurato indica un limite di velocità valido dalle ore 8.00 alle ore 20.00 54 Fine limite massimo di velocità Figura 81
V | Il segnale raffigurato indica la fine di una prescrizione
V | Il segnale raffigurato indica la fine del limite massimo di velocità
V | Il segnale raffigurato consente di circolare a velocità superiore a 50 km/h
V | Il segnale raffigurato consente di circolare entro i limiti di velocità vigenti per quel tipo di strada
V | Il segnale raffigurato consente di marciare anche a velocità inferiore a 50 km/h
V | Il segnale raffigurato indica la fine del relativo divieto
F | Il segnale raffigurato indica il limite di velocità per tutti i veicoli
F | Il segnale raffigurato vieta di superare la velocità di 50 km/h
F | Il segnale raffigurato indica la fine del limite minimo di velocità
F | Il segnale raffigurato indica la fine dell'obbligo di mantenere una distanza di sicurezza di almeno 50 metri
F | Il segnale raffigurato prescrive ai veicoli che non superano la velocità di 50 km/h di marciare sulla corsia di destra
F | Il segnale raffigurato indica la velocità consigliata Transito vietato ai pedoni Figura 62
V | Il segnale raffigurato vieta il transito ai pedoni
V | Il segnale raffigurato consente il transito agli autoveicoli
V | Il segnale raffigurato consente il transito ai motocicli
V | Il segnale raffigurato consente il transito ai quadricicli a motore
V | Il segnale raffigurato consente il transito alle biciclette
F | Il segnale raffigurato vieta il transito ai ciclomotori
F | Il segnale raffigurato vale dalle ore 8.00 alle ore 20.00
F | Il segnale raffigurato indica un'area urbana riservata a parco giochi e divertimenti
F | Il segnale raffigurato obbliga i pedoni a circolare sul margine sinistro della carreggiata
F | Il segnale raffigurato indica l'inizio di un percorso pedonale 55
